E	0.5	1	1.5	2	2.5	3	3.5	4	4.5	5

V	µA	µA	µA	µA	µA	µA	µA	µA	µA	µA

-0.20004	-22.86434	-8.13007	-8.13007	-5.79357	-10.89573	-6.93798	-6.8903		-6.46114	-6.98566	-6.65188
-0.19004	-13.66138	-4.69685	-4.69685	-3.21865	-6.36578	-3.93391	-3.88622	-3.60012	-3.93391	-3.74317
-0.18004	-9.94205	-3.21865	-3.21865	-2.12193	-4.50611	-2.64645	-2.64645	-2.40803	-2.69413	-2.5034
-0.17004	-7.79629	-2.36034	-2.36034	-1.50204	-3.40939	-1.93119	-1.93119	-1.74046	-1.93119	-1.78814
-0.16004	-6.41346	-1.83582	-1.83582	-1.07288	-2.69413	-1.45435	-1.40667	-1.26362	-1.45435	-1.3113
-0.15004	-5.4121		-1.40667	-1.40667	-0.7391		-2.12193	-1.07288	-1.0252		-0.88215	-1.07288	-0.97752
-0.14004	-4.60148	-1.07288	-1.07288	-0.50068	-1.74046	-0.78678	-0.7391		-0.64373	-0.78678	-0.69141
-0.13004	-3.98159	-0.78678	-0.78678	-0.26226	-1.40667	-0.54836	-0.54836	-0.40531	-0.54836	-0.50068
-0.12004	-3.45707	-0.54836	-0.54836	-0.11921	-1.07288	-0.30994	-0.30994	-0.26226	-0.35763	-0.26226
0.36965	247.36023	266.76752	266.76752	252.79617	313.25961	281.50177	291.80145	286.46088	281.6925	276.68573
0.37965	279.06989	303.43628	303.43628	288.94043	354.79211	319.64923	332.3331	326.32495	319.22006	313.54572
0.38965	313.21191	343.10962	343.10962	328.70914	399.3764	361.3248	376.39285	369.8125	359.84659	353.79077
0.39965	349.97607	386.35873	386.35873	372.29205	447.68048	406.76736	424.60107	417.44852	404.33551	397.99356
0.40965	388.17072	432.4212	432.4212	419.49893	499.08353	455.69135	476.62448	468.94742	452.06738	445.8208
0.41965	426.98526	480.96371	480.96371	469.61499	553.2522	507.52353	531.74689	523.68829	502.75516	496.60397
0.42965	466.46786	532.08063	532.08063	523.35455	610.61621	562.64636	590.82745	582.53052	556.87616	550.96338
0.43965	504.80557	585.58228	585.58228	580.09863	670.12549	620.34369	652.67322	644.18555	613.6203	608.32739
0.44965	541.95117	640.41852	640.41852	639.41718	731.63794	680.71124	717.47589	708.84515	673.08185	668.79034
0.45965	576.23627	694.63538	694.63538	700.16669	793.67444	742.50983	783.56555	775.45929	734.06982	730.92273
0.46965	609.09033	749.04248	749.04248	762.77539	857.3327	806.69214	851.89679	844.8396	797.7276	795.53412
0.47965	640.13245	802.44824	802.44824	826.57672	921.27655	872.11469	921.32428	916.03137	862.67328	862.10107
0.48965	667.88434	854.56708	854.56708	890.52057	984.60101	937.25061	991.1814	987.6051	928.71521	929.71661
0.49965	694.68311	904.25348	904.25348	954.51257	1047.59119	1003.29303	1061.9917	1060.56116	996.37891	999.00153
0.50957	720.86145	952.84369	952.84369	1018.07501	1109.38977	1069.71692	1133.04089	1134.3761	1065.66382	1069.57385
0.51957	743.98804	998.04785	998.04785	1079.7782	1167.99304	1134.3761	1201.6106	1207.2373	1133.5177	1139.47815
0.52957	766.44708	1042.25061	1042.25061	1140.86108	1225.9292	1199.17871	1270.08435	1280.81323	1202.5166	1210.67041
0.53957	786.76031	1084.45117	1084.45117	1200.46619	1281.1947	1262.74109	1336.93738	1354.15125	1270.51355	1282.14832
0.54957	807.07361	1123.74255	1123.74255	1257.16211	1333.40881	1324.01514	1401.64429	1425.43835	1338.46326	1353.24524
0.55957	824.38324	1159.88684	1159.88684	1311.18774	1382.33228	1382.71375	1462.82288	1495.05713	1404.93445	1423.0542
0.56957	842.07391	1193.88574	1193.88574	1364.59399	1429.63452	1440.03015	1522.52295	1563.48376	1471.1676	1493.10205
0.57957	857.85724	1224.45105	1224.45105	1416.47388	1474.26697	1494.91406	1578.55176	1629.81177	1536.20813	1561.43286
0.58957	871.87622	1252.01221	1252.01221	1464.82568	1515.99023	1547.98608	1632.57739	1693.94678	1598.48352	1627.71362
0.59957	887.51648	1277.09387	1277.09387	1512.22327	1556.09229	1598.91272	1685.07715	1755.41113	1660.61548	1694.61438
0.60957	900.96332	1298.36084	1298.36084	1557.80884	1592.95227	1646.69177	1735.38403	1814.96814	1720.79272	1758.79663
0.61957	915.12537	1316.29041	1316.29041	1600.10486	1626.99841	1692.65942	1782.82935	1870.85339	1778.25171	1820.02258
0.62957	932.67297	1332.55054	1332.55054	1639.72998	1658.6604	1737.10059	1828.65332	1925.59534	1834.28003	1879.58044
0.63957	954.08344	1347.85706	1347.85706	1676.25574	1686.79382	1779.10999	1870.80579	1977.99963	1888.44971	1937.4209
0.6495	982.02612	1362.44824	1362.44824	1709.20557	1711.63745	1818.9259	1910.33655	2028.4967	1939.32825	1993.35388
0.65949	1016.3584	1377.23022	1377.23022	1737.62512	1731.33081	1854.87939	1945.90857	2075.98975	1987.3457	2045.85364
0.66949	1062.65979	1393.96716	1393.96716	1764.5188	1748.97388	1887.7821	1977.71362	2121.24146	2034.64795	2096.5415
0.67949	1121.83521	1416.28308	1416.28308	1787.40698	1764.28027	1918.44275	2006.37146	2164.11011	2080.94873	2145.60889
0.6895	1192.40759	1445.9906	1445.9906	1807.67249	1777.3457	1944.00122	2030.40405	2203.16309	2123.53027	2192.625
0.6995	1275.90186	1486.474	1486.474	1826.60291	1789.31421	1966.74634	2049.85913	2239.45044	2165.39771	2238.49683
0.70949	1369.3147	1537.73401	1537.73401	1846.86853	1801.99817	1987.72717	2065.92847	2271.11255	2204.21216	2281.50757
0.71949	1470.69067	1598.62659	1598.62659	1865.94202	1816.68469	2006.41919	2078.85083	2299.34131	2240.11792	2321.56177
0.7295	1580.45911	1670.19983	1670.19983	1887.16223	1835.51978	2023.72839	2091.72534	2324.66113	2273.49658	2358.65967
0.7395	1695.04358	1756.8894	1756.8894	1912.0531	1860.45837	2040.32227	2104.83838	2344.87915	2304.87256	2393.94653
0.7495	1814.58667	1851.1123	1851.1123	1943.71509	1892.93188	2057.01172	2118.76196	2363.38037	2331.76611	2426.65771
0.75949	1938.13611	1951.82129	1951.82129	1983.72168	1931.8418	2075.75122	2136.26294	2378.40186	2356.18018	2455.17261
0.7695	2062.63818	2055.15186	2055.15186	2035.8877	1982.52966	2100.07007	2160.2002	2393.61279	2376.78052	2481.30322
0.7795	2187.42749	2164.25317	2164.25317	2096.49365	2041.41907	2128.77661	2190.0979	2409.53931	2394.80493	2503.90527
0.78942	2313.69409	2274.73633	2274.73633	2160.86768	2107.46094	2163.68115	2227.10034	2425.94238	2411.06519	2523.45557
0.79942	2441.9165	2391.18091	2391.18091	2233.91919	2181.1333	2207.35938	2275.83301	2446.54175	2425.7041	2541.95679
0.78942	2285.27441	2237.01855	2237.01855	2079.61377	2028.06763	2047.57019	2104.31396	2264.00757	2259.00073	2374.53833
0.7795	2136.69214	2091.20093	2091.20093	1940.75867	1892.07361	1909.43054	1956.73279	2108.22388	2115.61499	2229.05542
0.7695	1992.35254	1947.24365	1947.24365	1807.38635	1763.13586	1781.68481	1822.02527	1967.03247	1984.58008	2095.96924
0.75949	1851.92297	1810.05664	1810.05664	1680.30884	1640.15918	1661.85522	1695.52039	1837.85632	1863.36707	1973.32666
0.7495	1714.16479	1677.87695	1677.87695	1560.09766	1523.71497	1549.4165	1577.02588	1719.69604	1752.50244	1860.83984
0.7395	1577.31201	1547.55688	1547.55688	1444.75073	1412.32544	1443.84485	1464.44421	1608.06799	1648.21765	1754.98193
0.7295	1444.70313	1418.90576	1418.90576	1333.59961	1303.79675	1342.37341	1356.86926	1503.5448	1549.89343	1655.22717
0.71949	1315.6228	1295.11829	1295.11829	1225.40479	1200.08472	1246.33789	1256.39917	1405.22046	1458.67444	1562.10046
0.70949	1190.64331	1176.43311	1176.43311	1122.64587	1101.23584	1155.97681	1160.98352	1314.04919	1373.12939	1474.9823
0.6995	1068.28638	1060.13208	1060.13208	1023.55859	1006.48785	1068.47717	1069.19238	1226.97827	1291.87585	1392.53662
0.6895	949.7442	947.16931	947.16931	929.62122	915.88831	986.84216	982.50293	1145.53406	1215.39111	1314.81213
0.67949	836.25653	837.01947	837.01947	840.3573	830.34375	909.64172	901.53552	1069.14478	1143.76978	1241.04504
0.66949	725.29602	732.01941	732.01941	754.28772	748.75641	835.82733	823.85876	996.33124	1075.9635	1170.61572
0.65949	618.96088	633.7428	633.7428	673.36798	671.98517	767.06696	751.28363	928.38147	1011.5423	1104.00146
0.6495	518.10931	538.42261	538.42261	597.16937	600.65033	703.07544	683.8584	864.48529	950.12567	1041.3446
0.63957	421.45395	447.82352	447.82352	525.64337	532.50983	642.23053	619.96222	803.30658	891.56964	981.31085
0.62957	330.52112	362.37384	362.37384	458.79077	469.90109	585.67761	560.30939	746.13379	836.2088	924.1853
0.61957	244.73763	282.02631	282.02631	396.08621	410.48669	531.69916	503.94727	691.82202	783.32709	869.5874
0.60957	166.01134	208.59337	208.59337	338.67502	356.74716	482.39423	452.40115	641.56293	734.30823	818.13672
0.59957	92.53073	139.73761	139.73761	285.03036	306.0589	435.47296	403.90634	593.35468	686.95782	768.7359
0.58957	25.20084	76.65205	76.65205	235.48698	259.18579	391.55627	358.41608	548.05469	642.08746	721.52899
0.57957	-34.83295	20.28942	20.28942	191.14113	216.84265	351.69269	317.31271	506.28375	600.07813	677.32574
0.56957	-89.52666	-31.25668	-31.25668	149.75119	177.64616	314.11792	278.83148	466.6586	559.97565	634.83954
0.55957	-138.83162	-77.84415	-77.84415	111.89032	141.21581	278.92685	243.11638	429.13104	521.63794	594.02228
0.54957	-181.31781	-118.27994	-118.27994	78.5594	109.45845	247.59865	211.50208	395.03717	486.39966	556.49469
0.53957	-219.22684	-154.56725	-154.56725	48.04134	79.94223	218.03474	182.08075	362.75531	452.49652	520.2074
0.52957	-251.65176	-186.18155	-186.18155	20.71857	53.57265	190.99808	155.37787	332.47614	420.45261	485.58902
0.51957	-278.73611	-213.21869	-213.21869	-3.0756	30.54142	166.82196	131.77443	304.67606	390.45953	453.21179
0.50957	-300.47989	-234.24721	-234.24721	-22.57824	11.70635	145.84113	111.938	279.97589	363.23215	423.45667
0.49965	-319.22006	-252.51007	-252.51007	-40.79342	-5.84126	125.7186	93.15062	255.84793	336.33853	393.94046
0.48965	-330.47342	-266.38605	-266.38605	-55.33695	-20.051	108.21867	77.31963	234.05647	311.35178	366.42694
0.47965	-337.48294	-275.77972	-275.77972	-66.68616	-30.68447	93.29367	64.39734	214.41078	288.32056	340.39163
0.46965	-340.67773	-282.26471	-282.26471	-76.46132	-40.07816	79.32234	52.42825	195.38498	265.62311	314.35632
0.45965	-340.43933	-284.41046	-284.41046	-83.70924	-47.23072	66.82921	41.98551	177.5508	243.87932	289.46497
0.44965	-335.57559	-282.59851	-282.59851	-88.33456	-51.95141	56.33831	33.64086	161.4337	223.51837	265.81384
0.43965	-328.37534	-279.16528	-279.16528	-92.53073	-56.62441	45.60947	25.10548	144.93513	202.91901	241.73355
0.42965	-317.59882	-273.44324	-273.44324	-95.34407	-59.91459	36.1681	17.47608	129.24719	183.03442	218.55927
0.41965	-305.91583	-265.76614	-265.76614	-97.34679	-62.63304	26.82209	10.08511	113.65462	163.38873	195.76645
0.40965	-292.8028	-256.61087	-256.61087	-98.15741	-64.63576	18.52512	3.45707	99.01572	144.7444	174.06989
0.39965	-279.64209	-247.40791	-247.40791	-99.3495	-67.01994	9.89437	-3.74317	83.99535	125.76628	152.32611
0.38965	-266.48138	-237.7758	-237.7758	-100.30318	-69.35645	1.26362	-10.94341	69.35645	107.50342	131.34528
0.37965	-252.74849	-228.23906	-228.23906	-100.73233	-71.64526	-6.8903	-17.76218	55.28927	90.19423	111.55653
0.36965	-240.1123	-218.36853	-218.36853	-101.686	-74.41092	-15.28263	-25.24853	41.17489	73.12346	92.38768
0.35973	-228.04832	-209.9762	-209.9762	-102.592	-77.31963	-23.43655	-32.54414	27.6804	56.9582	74.31555
0.34973	-216.17508	-200.91629	-200.91629	-103.06883	-79.70381	-30.82752	-39.21986	15.42568	42.12856	57.81651
0.33973	-205.06477	-193.00079	-193.00079	-103.97482	-82.70789	-38.36155	-46.03863	3.45707	27.91882	42.17625
0.32973	-194.90814	-185.32324	-185.32324	-104.69008	-85.42586	-45.41874	-52.33288	-7.60555	14.90116	27.9665
0.31973	-185.37093	-178.36142	-178.36142	-105.30997	-87.95309	-51.71299	-58.05492	-17.47608	3.21865	15.18726
0.30973	-175.88187	-170.97044	-170.97044	-105.30997	-89.81276	-57.10125	-62.82377	-26.10683	-7.08103	4.02927
0.29973	-167.25111	-164.48546	-164.48546	-105.30997	-91.67242	-61.96499	-67.35373	-33.87928	-16.37936	-6.07967
0.28973	-158.85878	-158.04816	-158.04816	-104.78545	-92.86452	-65.87553	-70.88232	-40.41195	-24.19949	-14.56738
0.27973	-150.70486	-151.32475	-151.32475	-103.59335	-93.24599	-68.68887	-73.36188	-45.60947	-30.68447	-21.62457
0.26973	-142.93242	-145.3166	-145.3166	-102.21053	-93.29367	-70.97769	-75.31691	-49.90101	-36.12041	-27.6804
0.25973	-135.35071	-138.83162	-138.83162	-100.20781	-92.67378	-72.36052	-76.31827	-53.19118	-40.41195	-32.44877
0.24973	-127.91205	-132.10822	-132.10822	-97.53752	-91.24327	-72.74199	-76.36595	-55.1939	-43.51139	-36.07273
0.23973	-120.90254	-125.7186	-125.7186	-94.72418	-89.47897	-72.55125	-75.88911	-56.57673	-45.80021	-38.7907
0.22973	-114.13145	-119.37666	-119.37666	-91.33864	-87.09479	-71.64526	-74.84007	-57.05357	-47.23072	-40.555
0.21981	-107.45573	-112.93936	-112.93936	-87.76236	-84.28145	-70.16707	-73.26651	-56.81515	-47.80293	-41.60404
0.20981	-101.01843	-106.50206	-106.50206	-83.75693	-80.99127	-68.0213	-70.97769	-55.90916	-47.56451	-41.79478
0.19981	-94.9626	-100.35086	-100.35086	-79.70381	-77.51036	-65.63712	-68.40277	-54.52633	-46.94462	-41.50867
0.18981	-89.14519	-94.34271	-94.34271	-75.50764	-73.74335	-62.87146	-65.54175	-52.76203	-45.75253	-40.69805
