mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
I,0.5,0.75,0.25,5,5,2,0.91891,0.40896,0.91499,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6895), np.float64(0.7495)]"
I,0.55,0.75,0.2,3,3,2,0.91877,0.40931,0.91488,"[np.float64(0.5496), np.float64(0.6495), np.float64(0.7495)]"
I,0.5,0.74,0.24,3,3,2,0.91848,0.41004,0.91464,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7395)]"
I,0.4,0.72,0.32,2,2,2,0.91826,0.4106,0.91446,"[np.float64(0.3996), np.float64(0.7195)]"
I,0.5,0.74,0.24,4,4,2,0.91816,0.41084,0.91438,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6595), np.float64(0.7395)]"
both,0.4,0.77,0.37,4,8,2,0.91814,0.41089,0.91436,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6495), np.float64(0.7695)]"
I,0.4,0.75,0.35,3,3,3,0.91801,0.41122,0.91426,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7495)]"
both,0.4,0.78,0.38,2,4,2,0.91801,0.41123,0.91425,"[np.float64(0.3996), np.float64(0.7795)]"
I,0.55,0.76,0.21,5,5,2,0.91785,0.41162,0.91412,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.7095), np.float64(0.7595)]"
both,0.45,0.76,0.31,3,6,2,0.91776,0.41184,0.91405,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7595)]"
I,0.5,0.74,0.24,5,5,2,0.91772,0.41195,0.91401,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395)]"
both,0.4,0.79,0.39,6,12,2,0.91758,0.41229,0.9139,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6296), np.float64(0.7095), np.float64(0.7894)]"
I,0.5,0.75,0.25,4,4,2,0.91757,0.41233,0.91389,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6695), np.float64(0.7495)]"
both,0.45,0.79,0.34,6,12,2,0.91755,0.41237,0.91388,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7195), np.float64(0.7894)]"
both,0.5,0.78,0.28,5,10,2,0.91745,0.41263,0.91379,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7095), np.float64(0.7795)]"
both,0.45,0.78,0.33,5,10,2,0.91739,0.41278,0.91374,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6995), np.float64(0.7795)]"
I,0.4,0.75,0.35,2,2,2,0.91737,0.41283,0.91372,"[np.float64(0.3996), np.float64(0.7495)]"
both,0.5,0.8,0.3,3,6,2,0.91735,0.41287,0.91371,"[np.float64(0.4996), np.float64(0.6495), np.float64(0.7994)]"
both,0.5,0.77,0.27,3,6,2,0.91718,0.41329,0.91357,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7695)]"
I,0.5,0.74,0.24,6,6,2,0.91708,0.41355,0.91349,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6396), np.float64(0.6895), np.float64(0.7395)]"
I,0.5,0.76,0.26,6,6,2,0.91704,0.41365,0.91346,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6595), np.float64(0.7095), np.float64(0.7595)]"
both,0.4,0.76,0.36,6,12,2,0.91699,0.41377,0.91341,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6196), np.float64(0.6895), np.float64(0.7595)]"
both,0.45,0.78,0.33,4,8,2,0.91681,0.41423,0.91326,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6695), np.float64(0.7795)]"
both,0.4,0.73,0.33,2,4,3,0.9166,0.41475,0.91309,"[np.float64(0.3996), np.float64(0.7295)]"
both,0.55,0.8,0.25,4,8,2,0.91646,0.4151,0.91298,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.7195), np.float64(0.7994)]"
both,0.5,0.77,0.27,5,10,2,0.91638,0.41528,0.91292,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995), np.float64(0.7695)]"
both,0.4,0.8,0.4,6,12,2,0.91633,0.41541,0.91287,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396), np.float64(0.7195), np.float64(0.7994)]"
both,0.5,0.79,0.29,5,10,2,0.9162,0.41573,0.91277,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7195), np.float64(0.7894)]"
