mode,V_start,V_end,window_V,n_points,n_features,n_components,R2_LOO,RMSE_LOO,composite,V_selected
both,0.5,0.72,0.22,6,12,2,0.88957,0.47723,0.89132,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795), np.float64(0.7195)]"
both,0.4,0.68,0.28,3,6,2,0.88954,0.47731,0.8913,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6795)]"
dIdV,0.5,0.74,0.24,3,3,2,0.88898,0.47852,0.89085,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7395)]"
dIdV,0.45,0.78,0.33,5,5,2,0.88894,0.47861,0.89082,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6995), np.float64(0.7795)]"
dIdV,0.55,0.8,0.25,2,2,2,0.88872,0.47908,0.89065,"[np.float64(0.5496), np.float64(0.7994)]"
dIdV,0.5,0.8,0.3,6,6,3,0.88867,0.47919,0.89061,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395), np.float64(0.7994)]"
I,0.55,0.8,0.25,3,3,3,0.88854,0.47946,0.89051,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7994)]"
both,0.5,0.72,0.22,5,10,2,0.88848,0.4796,0.89046,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6595), np.float64(0.7195)]"
I,0.45,0.78,0.33,6,6,2,0.88829,0.47999,0.89031,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5796), np.float64(0.6495), np.float64(0.7095), np.float64(0.7795)]"
dIdV,0.4,0.79,0.39,6,6,2,0.88809,0.48044,0.89015,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6296), np.float64(0.7095), np.float64(0.7894)]"
I,0.45,0.7,0.25,2,2,2,0.88765,0.48137,0.8898,"[np.float64(0.4496), np.float64(0.6995)]"
both,0.5,0.7,0.2,6,12,2,0.88755,0.48159,0.88972,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5796), np.float64(0.6196), np.float64(0.6595), np.float64(0.6995)]"
dIdV,0.5,0.75,0.25,3,3,3,0.88722,0.4823,0.88946,"[np.float64(0.4996), np.float64(0.6196), np.float64(0.7495)]"
dIdV,0.4,0.69,0.29,6,6,2,0.88666,0.48348,0.88902,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895)]"
I,0.5,0.79,0.29,6,6,3,0.8866,0.48361,0.88897,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295), np.float64(0.7894)]"
dIdV,0.45,0.73,0.28,3,3,2,0.88659,0.48364,0.88896,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7295)]"
I,0.45,0.73,0.28,4,4,2,0.88652,0.4838,0.88891,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6396), np.float64(0.7295)]"
I,0.5,0.76,0.26,2,2,2,0.88647,0.4839,0.88887,"[np.float64(0.4996), np.float64(0.7595)]"
dIdV,0.4,0.79,0.39,5,5,2,0.88639,0.48406,0.88881,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6895), np.float64(0.7894)]"
dIdV,0.55,0.79,0.24,6,6,3,0.88632,0.48421,0.88875,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6895), np.float64(0.7395), np.float64(0.7894)]"
both,0.45,0.73,0.28,5,10,2,0.88632,0.48422,0.88875,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595), np.float64(0.7295)]"
both,0.5,0.74,0.24,5,10,2,0.88629,0.48429,0.88872,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395)]"
I,0.45,0.77,0.32,4,4,2,0.88598,0.48493,0.88849,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6595), np.float64(0.7695)]"
I,0.4,0.78,0.38,6,6,3,0.88585,0.48521,0.88838,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6296), np.float64(0.6995), np.float64(0.7795)]"
dIdV,0.45,0.69,0.24,3,3,2,0.88584,0.48523,0.88837,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6895)]"
both,0.45,0.68,0.23,6,12,2,0.88581,0.4853,0.88835,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6296), np.float64(0.6795)]"
both,0.5,0.75,0.25,4,8,3,0.88555,0.48586,0.88814,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6695), np.float64(0.7495)]"
I,0.55,0.76,0.21,2,2,2,0.88537,0.48623,0.888,"[np.float64(0.5496), np.float64(0.7595)]"
both,0.4,0.66,0.26,4,8,2,0.88523,0.48652,0.88789,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5696), np.float64(0.6595)]"
both,0.45,0.74,0.29,5,10,2,0.88513,0.48674,0.88781,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6695), np.float64(0.7395)]"
both,0.45,0.68,0.23,5,10,2,0.88509,0.48682,0.88778,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795)]"
both,0.45,0.67,0.22,5,10,2,0.88508,0.48686,0.88777,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695)]"
dIdV,0.4,0.79,0.39,3,3,2,0.88505,0.48691,0.88775,"[np.float64(0.3996), np.float64(0.5996), np.float64(0.7894)]"
I,0.5,0.77,0.27,3,3,2,0.88504,0.48693,0.88774,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7695)]"
both,0.5,0.71,0.21,6,12,2,0.88502,0.48697,0.88773,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296), np.float64(0.6695), np.float64(0.7095)]"
dIdV,0.4,0.8,0.4,2,2,2,0.88496,0.48711,0.88768,"[np.float64(0.3996), np.float64(0.7994)]"
both,0.45,0.66,0.21,5,10,2,0.88453,0.48801,0.88734,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.6096), np.float64(0.6595)]"
both,0.45,0.65,0.2,3,6,2,0.88441,0.48827,0.88724,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6495)]"
dIdV,0.45,0.7,0.25,5,5,2,0.88399,0.48916,0.88691,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6396), np.float64(0.6995)]"
dIdV,0.45,0.8,0.35,6,6,3,0.88383,0.48949,0.88679,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595), np.float64(0.7295), np.float64(0.7994)]"
both,0.45,0.66,0.21,4,8,2,0.88379,0.48956,0.88676,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595)]"
I,0.4,0.73,0.33,3,3,3,0.88378,0.48959,0.88675,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7295)]"
both,0.45,0.67,0.22,6,12,2,0.88369,0.48979,0.88668,"[np.float64(0.4496), np.float64(0.4896), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296), np.float64(0.6695)]"
both,0.4,0.67,0.27,3,6,2,0.88356,0.49005,0.88658,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6695)]"
both,0.45,0.73,0.28,6,12,2,0.88351,0.49015,0.88654,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295)]"
dIdV,0.4,0.7,0.3,6,6,2,0.88352,0.49015,0.88654,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5796), np.float64(0.6396), np.float64(0.6995)]"
dIdV,0.4,0.71,0.31,5,5,2,0.88346,0.49027,0.8865,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6296), np.float64(0.7095)]"
both,0.5,0.73,0.23,6,12,2,0.88334,0.49053,0.8864,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6795), np.float64(0.7295)]"
dIdV,0.55,0.8,0.25,5,5,3,0.88311,0.491,0.88622,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7395), np.float64(0.7994)]"
I,0.5,0.79,0.29,5,5,3,0.88309,0.49105,0.8862,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7195), np.float64(0.7894)]"
dIdV,0.45,0.72,0.27,4,4,2,0.88305,0.49113,0.88617,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6296), np.float64(0.7195)]"
both,0.4,0.66,0.26,5,10,2,0.88294,0.49136,0.88609,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5296), np.float64(0.5996), np.float64(0.6595)]"
both,0.4,0.66,0.26,3,6,2,0.88275,0.49175,0.88594,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6595)]"
both,0.45,0.65,0.2,5,10,2,0.88265,0.49197,0.88586,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495)]"
dIdV,0.45,0.69,0.24,5,5,2,0.88262,0.49204,0.88583,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5696), np.float64(0.6296), np.float64(0.6895)]"
both,0.45,0.66,0.21,6,12,2,0.88261,0.49205,0.88583,"[np.float64(0.4496), np.float64(0.4896), np.float64(0.5296), np.float64(0.5796), np.float64(0.6196), np.float64(0.6595)]"
I,0.45,0.73,0.28,5,5,2,0.88244,0.49242,0.88569,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595), np.float64(0.7295)]"
both,0.5,0.73,0.23,5,10,3,0.88223,0.49286,0.88553,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295)]"
I,0.45,0.78,0.33,5,5,2,0.88206,0.4932,0.8854,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6995), np.float64(0.7795)]"
dIdV,0.4,0.8,0.4,6,6,2,0.88201,0.4933,0.88536,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396), np.float64(0.7195), np.float64(0.7994)]"
both,0.45,0.66,0.21,3,6,2,0.88163,0.4941,0.88506,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6595)]"
I,0.5,0.8,0.3,5,5,3,0.88125,0.4949,0.88476,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6495), np.float64(0.7195), np.float64(0.7994)]"
dIdV,0.4,0.69,0.29,3,3,2,0.88112,0.49517,0.88466,"[np.float64(0.3996), np.float64(0.5396), np.float64(0.6895)]"
dIdV,0.55,0.8,0.25,4,4,2,0.88095,0.49551,0.88453,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.7195), np.float64(0.7994)]"
dIdV,0.6,0.8,0.2,5,5,3,0.88084,0.49575,0.88444,"[np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495), np.float64(0.7994)]"
I,0.45,0.73,0.28,6,6,2,0.88076,0.49592,0.88437,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295)]"
both,0.45,0.65,0.2,4,8,2,0.88065,0.49614,0.88429,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5796), np.float64(0.6495)]"
dIdV,0.5,0.7,0.2,4,4,2,0.88021,0.49705,0.88395,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6296), np.float64(0.6995)]"
dIdV,0.45,0.69,0.24,6,6,2,0.87992,0.49766,0.88372,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6895)]"
dIdV,0.4,0.78,0.38,6,6,2,0.87974,0.49804,0.88357,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6296), np.float64(0.6995), np.float64(0.7795)]"
I,0.5,0.78,0.28,4,4,2,0.8796,0.49832,0.88346,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6895), np.float64(0.7795)]"
I,0.4,0.76,0.36,2,2,2,0.87947,0.4986,0.88336,"[np.float64(0.3996), np.float64(0.7595)]"
dIdV,0.45,0.74,0.29,4,4,3,0.87941,0.49871,0.88332,"[np.float64(0.4496), np.float64(0.5496), np.float64(0.6396), np.float64(0.7395)]"
dIdV,0.4,0.71,0.31,4,4,2,0.87933,0.49888,0.88325,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.6096), np.float64(0.7095)]"
both,0.4,0.66,0.26,6,12,2,0.87924,0.49906,0.88319,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6595)]"
both,0.45,0.67,0.22,4,8,2,0.87907,0.49941,0.88305,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5996), np.float64(0.6695)]"
dIdV,0.4,0.65,0.25,6,6,2,0.8786,0.50039,0.88268,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495)]"
dIdV,0.45,0.7,0.25,6,6,2,0.87845,0.50069,0.88257,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995)]"
both,0.45,0.67,0.22,3,6,2,0.87821,0.50118,0.88238,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6695)]"
dIdV,0.4,0.64,0.24,4,4,2,0.87812,0.50137,0.88231,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396)]"
dIdV,0.45,0.74,0.29,3,3,2,0.87812,0.50138,0.8823,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7395)]"
I,0.45,0.77,0.32,3,3,2,0.87792,0.50179,0.88215,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7695)]"
dIdV,0.4,0.6,0.2,2,2,2,0.87787,0.50189,0.88211,"[np.float64(0.3996), np.float64(0.5996)]"
dIdV,0.4,0.77,0.37,6,6,2,0.87787,0.50188,0.88211,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5496), np.float64(0.6196), np.float64(0.6995), np.float64(0.7695)]"
dIdV,0.5,0.79,0.29,3,3,1,0.87783,0.50198,0.88207,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7894)]"
dIdV,0.4,0.64,0.24,6,6,2,0.87773,0.50218,0.882,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5396), np.float64(0.5896), np.float64(0.6396)]"
both,0.45,0.65,0.2,6,12,2,0.87767,0.5023,0.88195,"[np.float64(0.4496), np.float64(0.4896), np.float64(0.5296), np.float64(0.5696), np.float64(0.6096), np.float64(0.6495)]"
I,0.45,0.72,0.27,3,3,2,0.87702,0.50363,0.88144,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7195)]"
dIdV,0.45,0.68,0.23,3,3,2,0.87692,0.50383,0.88137,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6795)]"
dIdV,0.45,0.72,0.27,3,3,2,0.87686,0.50396,0.88132,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7195)]"
both,0.4,0.64,0.24,2,4,2,0.87603,0.50566,0.88067,"[np.float64(0.3996), np.float64(0.6396)]"
dIdV,0.55,0.79,0.24,5,5,3,0.87599,0.50573,0.88064,"[np.float64(0.5496), np.float64(0.6096), np.float64(0.6695), np.float64(0.7295), np.float64(0.7894)]"
dIdV,0.55,0.79,0.24,2,2,2,0.8755,0.50674,0.88026,"[np.float64(0.5496), np.float64(0.7894)]"
dIdV,0.5,0.79,0.29,4,4,2,0.87518,0.50739,0.88001,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6895), np.float64(0.7894)]"
dIdV,0.4,0.7,0.3,3,3,2,0.87503,0.50769,0.87989,"[np.float64(0.3996), np.float64(0.5496), np.float64(0.6995)]"
dIdV,0.55,0.8,0.25,6,6,3,0.87502,0.5077,0.87988,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495), np.float64(0.7994)]"
dIdV,0.4,0.74,0.34,4,4,3,0.87489,0.50797,0.87978,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6296), np.float64(0.7395)]"
I,0.5,0.8,0.3,4,4,3,0.87464,0.50848,0.87959,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
both,0.4,0.65,0.25,3,6,2,0.87465,0.50847,0.87959,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6495)]"
I,0.4,0.78,0.38,5,5,3,0.87464,0.50848,0.87958,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5896), np.float64(0.6795), np.float64(0.7795)]"
I,0.4,0.7,0.3,2,2,2,0.87454,0.50869,0.87951,"[np.float64(0.3996), np.float64(0.6995)]"
dIdV,0.4,0.72,0.32,5,5,2,0.87432,0.50913,0.87934,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6396), np.float64(0.7195)]"
dIdV,0.45,0.79,0.34,6,6,3,0.87424,0.50928,0.87928,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7195), np.float64(0.7894)]"
dIdV,0.4,0.64,0.24,5,5,2,0.87422,0.50933,0.87926,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5796), np.float64(0.6396)]"
I,0.45,0.79,0.34,6,6,2,0.87383,0.51011,0.87896,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7195), np.float64(0.7894)]"
dIdV,0.4,0.65,0.25,5,5,2,0.87371,0.51036,0.87886,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495)]"
dIdV,0.4,0.65,0.25,4,4,2,0.87367,0.51045,0.87883,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5696), np.float64(0.6495)]"
I,0.4,0.77,0.37,3,3,2,0.87346,0.51087,0.87867,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7695)]"
dIdV,0.4,0.71,0.31,6,6,2,0.87319,0.51141,0.87846,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7095)]"
dIdV,0.45,0.8,0.35,4,4,2,0.87274,0.51231,0.87811,"[np.float64(0.4496), np.float64(0.5696), np.float64(0.6795), np.float64(0.7994)]"
dIdV,0.5,0.71,0.21,4,4,2,0.8727,0.5124,0.87807,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7095)]"
dIdV,0.5,0.79,0.29,5,5,2,0.8724,0.51301,0.87784,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7195), np.float64(0.7894)]"
dIdV,0.4,0.75,0.35,4,4,3,0.8723,0.5132,0.87776,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6296), np.float64(0.7495)]"
I,0.5,0.79,0.29,4,4,3,0.87197,0.51386,0.87751,"[np.float64(0.4996), np.float64(0.5996), np.float64(0.6895), np.float64(0.7894)]"
dIdV,0.4,0.68,0.28,4,4,2,0.87195,0.51391,0.87749,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5896), np.float64(0.6795)]"
dIdV,0.45,0.76,0.31,3,3,3,0.87188,0.51404,0.87744,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7595)]"
dIdV,0.5,0.73,0.23,6,6,3,0.87146,0.51489,0.87711,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5896), np.float64(0.6396), np.float64(0.6795), np.float64(0.7295)]"
dIdV,0.4,0.61,0.21,2,2,2,0.87113,0.51556,0.87685,"[np.float64(0.3996), np.float64(0.6096)]"
dIdV,0.5,0.74,0.24,5,5,3,0.87112,0.51557,0.87684,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395)]"
I,0.4,0.79,0.39,5,5,3,0.87107,0.51568,0.8768,"[np.float64(0.3996), np.float64(0.4996), np.float64(0.5996), np.float64(0.6895), np.float64(0.7894)]"
dIdV,0.6,0.8,0.2,3,3,2,0.87088,0.51605,0.87666,"[np.float64(0.5996), np.float64(0.6995), np.float64(0.7994)]"
dIdV,0.4,0.63,0.23,4,4,2,0.87084,0.51613,0.87663,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6296)]"
I,0.45,0.72,0.27,4,4,2,0.87046,0.51689,0.87633,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6296), np.float64(0.7195)]"
dIdV,0.5,0.74,0.24,6,6,3,0.87009,0.51762,0.87605,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6396), np.float64(0.6895), np.float64(0.7395)]"
both,0.4,0.65,0.25,4,8,2,0.86972,0.51837,0.87576,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5696), np.float64(0.6495)]"
I,0.45,0.78,0.33,4,4,2,0.86972,0.51836,0.87576,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6695), np.float64(0.7795)]"
dIdV,0.55,0.79,0.24,4,4,2,0.86973,0.51835,0.87576,"[np.float64(0.5496), np.float64(0.6296), np.float64(0.7095), np.float64(0.7894)]"
dIdV,0.4,0.63,0.23,6,6,2,0.8697,0.51841,0.87574,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4896), np.float64(0.5396), np.float64(0.5796), np.float64(0.6296)]"
both,0.45,0.65,0.2,2,4,2,0.86962,0.51857,0.87568,"[np.float64(0.4496), np.float64(0.6495)]"
dIdV,0.45,0.73,0.28,4,4,3,0.86938,0.51905,0.87549,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6396), np.float64(0.7295)]"
dIdV,0.4,0.66,0.26,6,6,2,0.86914,0.51952,0.8753,"[np.float64(0.3996), np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6595)]"
dIdV,0.4,0.63,0.23,5,5,2,0.86898,0.51984,0.87518,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5696), np.float64(0.6296)]"
I,0.45,0.69,0.24,2,2,2,0.86871,0.52037,0.87497,"[np.float64(0.4496), np.float64(0.6895)]"
dIdV,0.45,0.71,0.26,5,5,2,0.86816,0.52147,0.87454,"[np.float64(0.4496), np.float64(0.5096), np.float64(0.5796), np.float64(0.6495), np.float64(0.7095)]"
I,0.45,0.72,0.27,6,6,2,0.86806,0.52166,0.87447,"[np.float64(0.4496), np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6695), np.float64(0.7195)]"
I,0.45,0.79,0.34,5,5,2,0.86788,0.52202,0.87433,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6196), np.float64(0.7095), np.float64(0.7894)]"
I,0.4,0.73,0.33,4,4,3,0.86775,0.52228,0.87422,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6196), np.float64(0.7295)]"
dIdV,0.4,0.78,0.38,3,3,2,0.86748,0.52279,0.87402,"[np.float64(0.3996), np.float64(0.5896), np.float64(0.7795)]"
dIdV,0.4,0.68,0.28,5,5,2,0.86731,0.52314,0.87388,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5396), np.float64(0.6096), np.float64(0.6795)]"
I,0.45,0.8,0.35,6,6,3,0.86707,0.52361,0.8737,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6595), np.float64(0.7295), np.float64(0.7994)]"
I,0.4,0.79,0.39,6,6,2,0.86693,0.52389,0.87359,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5596), np.float64(0.6296), np.float64(0.7095), np.float64(0.7894)]"
dIdV,0.4,0.63,0.23,3,3,2,0.86679,0.52415,0.87349,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6296)]"
dIdV,0.4,0.64,0.24,3,3,2,0.8665,0.52474,0.87325,"[np.float64(0.3996), np.float64(0.5196), np.float64(0.6396)]"
both,0.4,0.65,0.25,2,4,2,0.86635,0.52504,0.87314,"[np.float64(0.3996), np.float64(0.6495)]"
dIdV,0.5,0.78,0.28,4,4,2,0.8662,0.52531,0.87303,"[np.float64(0.4996), np.float64(0.5896), np.float64(0.6895), np.float64(0.7795)]"
I,0.45,0.72,0.27,5,5,2,0.86609,0.52553,0.87294,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495), np.float64(0.7195)]"
dIdV,0.4,0.68,0.28,6,6,2,0.86569,0.52632,0.87263,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5096), np.float64(0.5696), np.float64(0.6196), np.float64(0.6795)]"
dIdV,0.4,0.79,0.39,2,2,2,0.86562,0.52645,0.87258,"[np.float64(0.3996), np.float64(0.7894)]"
dIdV,0.4,0.66,0.26,4,4,2,0.86553,0.52663,0.87251,"[np.float64(0.3996), np.float64(0.4896), np.float64(0.5696), np.float64(0.6595)]"
dIdV,0.55,0.77,0.22,3,3,1,0.8655,0.52669,0.87248,"[np.float64(0.5496), np.float64(0.6595), np.float64(0.7695)]"
dIdV,0.4,0.72,0.32,4,4,2,0.8653,0.52708,0.87233,"[np.float64(0.3996), np.float64(0.5096), np.float64(0.6096), np.float64(0.7195)]"
dIdV,0.4,0.66,0.26,5,5,2,0.86526,0.52717,0.87229,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5296), np.float64(0.5996), np.float64(0.6595)]"
both,0.4,0.63,0.23,2,4,2,0.86492,0.52784,0.87203,"[np.float64(0.3996), np.float64(0.6296)]"
dIdV,0.5,0.73,0.23,4,4,3,0.8649,0.52786,0.87202,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6495), np.float64(0.7295)]"
dIdV,0.4,0.79,0.39,4,4,1,0.86473,0.5282,0.87189,"[np.float64(0.3996), np.float64(0.5296), np.float64(0.6595), np.float64(0.7894)]"
dIdV,0.4,0.62,0.22,4,4,2,0.8647,0.52825,0.87187,"[np.float64(0.3996), np.float64(0.4696), np.float64(0.5496), np.float64(0.6196)]"
dIdV,0.5,0.7,0.2,5,5,2,0.8645,0.52864,0.87171,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995)]"
dIdV,0.55,0.75,0.2,6,6,3,0.86433,0.52898,0.87158,"[np.float64(0.5496), np.float64(0.5896), np.float64(0.6296), np.float64(0.6695), np.float64(0.7095), np.float64(0.7495)]"
both,0.4,0.65,0.25,5,10,2,0.864,0.52963,0.87132,"[np.float64(0.3996), np.float64(0.4596), np.float64(0.5196), np.float64(0.5896), np.float64(0.6495)]"
dIdV,0.45,0.68,0.23,4,4,2,0.86394,0.52974,0.87128,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.5996), np.float64(0.6795)]"
dIdV,0.5,0.72,0.22,5,5,3,0.86386,0.52989,0.87122,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6096), np.float64(0.6595), np.float64(0.7195)]"
dIdV,0.55,0.75,0.2,5,5,3,0.86338,0.53083,0.87084,"[np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995), np.float64(0.7495)]"
dIdV,0.5,0.8,0.3,5,5,3,0.86321,0.53116,0.87071,"[np.float64(0.4996), np.float64(0.5796), np.float64(0.6495), np.float64(0.7195), np.float64(0.7994)]"
