V_start,V_end,window_V,n_points,n_components,R2_LOO,RMSE_LOO,composite,V_selected
0.45,0.76,0.31,2,2,0.89595,0.46325,0.89639,"[np.float64(0.4496), np.float64(0.7595)]"
0.45,0.77,0.32,5,2,0.89536,0.46457,0.89592,"[np.float64(0.4496), np.float64(0.5296), np.float64(0.6096), np.float64(0.6895), np.float64(0.7695)]"
0.45,0.76,0.31,3,2,0.89403,0.46751,0.89486,"[np.float64(0.4496), np.float64(0.6096), np.float64(0.7595)]"
0.5,0.7,0.2,4,2,0.89365,0.46834,0.89456,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6296), np.float64(0.6995)]"
0.4,0.76,0.36,3,3,0.89364,0.46836,0.89455,"[np.float64(0.3996), np.float64(0.5796), np.float64(0.7595)]"
0.5,0.7,0.2,5,2,0.89262,0.4706,0.89374,"[np.float64(0.4996), np.float64(0.5496), np.float64(0.5996), np.float64(0.6495), np.float64(0.6995)]"
0.55,0.77,0.22,3,2,0.89248,0.47091,0.89363,"[np.float64(0.5496), np.float64(0.6595), np.float64(0.7695)]"
0.5,0.7,0.2,6,2,0.89163,0.47277,0.89295,"[np.float64(0.4996), np.float64(0.5396), np.float64(0.5796), np.float64(0.6196), np.float64(0.6595), np.float64(0.6995)]"
0.55,0.78,0.23,3,3,0.8915,0.47306,0.89285,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7795)]"
0.5,0.78,0.28,5,2,0.8909,0.47436,0.89238,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7095), np.float64(0.7795)]"
0.45,0.73,0.28,3,2,0.89073,0.47473,0.89224,"[np.float64(0.4496), np.float64(0.5896), np.float64(0.7295)]"
0.55,0.79,0.24,3,3,0.89044,0.47536,0.89201,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7894)]"
0.5,0.8,0.3,6,3,0.88976,0.47683,0.89147,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6795), np.float64(0.7395), np.float64(0.7994)]"
0.55,0.8,0.25,3,3,0.88854,0.47946,0.89051,"[np.float64(0.5496), np.float64(0.6695), np.float64(0.7994)]"
0.45,0.78,0.33,6,2,0.88829,0.47999,0.89031,"[np.float64(0.4496), np.float64(0.5196), np.float64(0.5796), np.float64(0.6495), np.float64(0.7095), np.float64(0.7795)]"
0.45,0.7,0.25,2,2,0.88765,0.48137,0.8898,"[np.float64(0.4496), np.float64(0.6995)]"
0.5,0.79,0.29,6,3,0.8866,0.48361,0.88897,"[np.float64(0.4996), np.float64(0.5596), np.float64(0.6196), np.float64(0.6695), np.float64(0.7295), np.float64(0.7894)]"
0.45,0.73,0.28,4,2,0.88652,0.4838,0.88891,"[np.float64(0.4496), np.float64(0.5396), np.float64(0.6396), np.float64(0.7295)]"
0.5,0.76,0.26,2,2,0.88647,0.4839,0.88887,"[np.float64(0.4996), np.float64(0.7595)]"
0.45,0.77,0.32,4,2,0.88598,0.48493,0.88849,"[np.float64(0.4496), np.float64(0.5596), np.float64(0.6595), np.float64(0.7695)]"
0.4,0.78,0.38,6,3,0.88585,0.48521,0.88838,"[np.float64(0.3996), np.float64(0.4796), np.float64(0.5496), np.float64(0.6296), np.float64(0.6995), np.float64(0.7795)]"
0.55,0.76,0.21,2,2,0.88537,0.48623,0.888,"[np.float64(0.5496), np.float64(0.7595)]"
0.5,0.77,0.27,3,2,0.88504,0.48693,0.88774,"[np.float64(0.4996), np.float64(0.6396), np.float64(0.7695)]"
0.4,0.73,0.33,3,3,0.88378,0.48959,0.88675,"[np.float64(0.3996), np.float64(0.5596), np.float64(0.7295)]"
0.5,0.79,0.29,5,3,0.88309,0.49105,0.8862,"[np.float64(0.4996), np.float64(0.5696), np.float64(0.6396), np.float64(0.7195), np.float64(0.7894)]"
